ID,title,company,location,link,source,date_posted,work_type,employment_type
84,Data Analyst,Keurig Dr Pepper Inc.,"Frisco, TX",https://www.linkedin.com/jobs/view/data-analyst-at-keurig-dr-pepper-inc-4211235321,LinkedIn,16-04-2025,N/A,N/A
85,Insights Analyst,Spectrum,"Stamford, CT",https://www.linkedin.com/jobs/view/insights-analyst-at-spectrum-4172535871,LinkedIn,15-04-2025,N/A,N/A
86,Sr. Data Analyst,Rivian,"Palo Alto, CA",https://www.linkedin.com/jobs/view/sr-data-analyst-at-rivian-4145250152,LinkedIn,10-04-2025,N/A,N/A
87,Data Analyst,Consulting Point,United States,https://www.linkedin.com/jobs/view/data-analyst-at-consulting-point-4210929861,LinkedIn,15-04-2025,N/A,N/A
88,Sr. Data Analyst,Stefanini North America and APAC,United States,https://www.linkedin.com/jobs/view/sr-data-analyst-at-stefanini-north-america-and-apac-4168684683,LinkedIn,10-04-2025,N/A,N/A
89,Data Analyst,Ignite Digital Services,"San Diego, CA",https://www.linkedin.com/jobs/view/data-analyst-at-ignite-digital-services-4204632683,LinkedIn,10-04-2025,N/A,N/A
90,Data Analyst Contractor,Instacart,United States,https://www.linkedin.com/jobs/view/data-analyst-contractor-at-instacart-4211041562,LinkedIn,15-04-2025,N/A,N/A
91,Data Analyst,ExxonMobil,"Houston, TX",https://www.linkedin.com/jobs/view/data-analyst-at-exxonmobil-4211926927,LinkedIn,17-04-2025,N/A,N/A
92,Data Analyst,Ascendum Solutions,"Irvine, CA",https://www.linkedin.com/jobs/view/data-analyst-at-ascendum-solutions-4183424931,LinkedIn,14-04-2025,N/A,N/A
93,"Analyst, Data Analytics & Intelligence",Publicis Digital Experience,"New York, NY",https://www.linkedin.com/jobs/view/analyst-data-analytics-intelligence-at-publicis-digital-experience-4184992147,LinkedIn,10-04-2025,N/A,N/A
94,Analista de Dados Junior - Ṣo Paulo/SP,Shopee,"Ṣo Paulo, Ṣo Paulo, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-junior-s%C3%A3o-paulo-sp-at-shopee-4209737929,LinkedIn,16-04-2025,N/A,N/A
95,Data Analyst,LTIMindtree,"Bangalore Rural, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-ltimindtree-4207304045,LinkedIn,15-04-2025,N/A,N/A
96,"Data Platform Analyst, Subscriptions",Roku,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-platform-analyst-subscriptions-at-roku-4210917683,LinkedIn,15-04-2025,N/A,N/A
98,Junior Data Analyst,Pion,"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/junior-data-analyst-at-pion-4211405177,LinkedIn,16-04-2025,N/A,N/A
100,Data Analyst,Aston Martin F1 Team,"Silverstone, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-aston-martin-f1-team-4207343167,LinkedIn,15-04-2025,N/A,N/A
103,Healthcare Data Analyst,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/healthcare-data-analyst-at-infosys-4210130820,LinkedIn,16-04-2025,N/A,N/A
108,Junior Data Analyst UK&I,Experian,"Sofia, Sofia City, Bulgaria",https://bg.linkedin.com/jobs/view/junior-data-analyst-uk-i-at-experian-4210637805,LinkedIn,15-04-2025,N/A,N/A
109,Data Analyst,HCLTech,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-hcltech-4208166942,LinkedIn,16-04-2025,N/A,N/A
110,Data Analyst,PT Indofood CBP Sukses Makmur Tbk - Noodle Division,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-pt-indofood-cbp-sukses-makmur-tbk-noodle-division-4210122627,LinkedIn,16-04-2025,N/A,N/A
111,Data Analyst,Explore Group,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-explore-group-4207348212,LinkedIn,15-04-2025,N/A,N/A
112,Data Analyst,PT Indofood CBP Sukses Makmur Tbk - Noodle Division,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-pt-indofood-cbp-sukses-makmur-tbk-noodle-division-4209394413,LinkedIn,16-04-2025,N/A,N/A
113,"Lead Data Analyst (Power BI,SQL)",Target,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/lead-data-analyst-power-bi-sql-at-target-4208107251,LinkedIn,16-04-2025,N/A,N/A
115,Data Analyst,AKT London,"Greater London, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-akt-london-4210935443,LinkedIn,15-04-2025,N/A,N/A
116,Officer - Real Time Analytics,Almosafer,"Riyadh, Saudi Arabia",https://sa.linkedin.com/jobs/view/officer-real-time-analytics-at-almosafer-4209746245,LinkedIn,16-04-2025,N/A,N/A
117,Data Analyst,Adecco,Greater Bengaluru Area,https://in.linkedin.com/jobs/view/data-analyst-at-adecco-4210576392,LinkedIn,15-04-2025,N/A,N/A
118,Data Analyst,StatusNeo,India,https://in.linkedin.com/jobs/view/data-analyst-at-statusneo-4207301130,LinkedIn,15-04-2025,N/A,N/A
120,ANALISTA GESTAO DE INDICADORES PL,Camil Alimentos S/A,"Ṣo Paulo, Ṣo Paulo, Brazil",https://br.linkedin.com/jobs/view/analista-gestao-de-indicadores-pl-at-camil-alimentos-s-a-4207646234,LinkedIn,15-04-2025,N/A,N/A
121,Data Analyst,Tata Consultancy Services,"Mississauga, Ontario, Canada",https://ca.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-4209313361,LinkedIn,15-04-2025,N/A,N/A
122,Data Analyst,TLP Consultancy Ltd,"Great Burgh, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-tlp-consultancy-ltd-4208191849,LinkedIn,16-04-2025,N/A,N/A
125,Data Analyst,Lorien,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-lorien-4211498951,LinkedIn,16-04-2025,N/A,N/A
127,DATA ANALYST I,Inter,"Belo Horizonte, Minas Gerais, Brazil",https://br.linkedin.com/jobs/view/data-analyst-i-at-inter-4210957110,LinkedIn,15-04-2025,N/A,N/A
128,Data Analyst,Explore Group,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-explore-group-4208307077,LinkedIn,16-04-2025,N/A,N/A
130,Data Analytics,EY,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-analytics-at-ey-4210593250,LinkedIn,15-04-2025,N/A,N/A
131,Analista de Dados J̼nior | Data Viz,americanas s.a.,Greater Rio de Janeiro,https://br.linkedin.com/jobs/view/analista-de-dados-j%C3%BAnior-data-viz-at-americanas-s-a-4209342093,LinkedIn,15-04-2025,N/A,N/A
134,Data Analytics,EY,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analytics-at-ey-4210588770,LinkedIn,15-04-2025,N/A,N/A
135,Analyst-Data Science,American Express,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/analyst-data-science-at-american-express-4210666878,LinkedIn,15-04-2025,N/A,N/A
136,"Analyst, Data Science",Toyota North America,"Plano, TX",https://www.linkedin.com/jobs/view/analyst-data-science-at-toyota-north-america-4210658682,LinkedIn,15-04-2025,N/A,N/A
137,Data Analyst,Kforce Inc,"Boston, MA",https://www.linkedin.com/jobs/view/data-analyst-at-kforce-inc-4211019116,LinkedIn,15-04-2025,N/A,N/A
138,Data Analyst Intern,SiteZeus,"Tampa, FL",https://www.linkedin.com/jobs/view/data-analyst-intern-at-sitezeus-4211479196,LinkedIn,16-04-2025,N/A,N/A
139,Business Data Analyst,Birlasoft,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/business-data-analyst-at-birlasoft-4208946703,LinkedIn,15-04-2025,N/A,N/A
